,base,ARHGAP22,ARHGAP22_Arp2_3,ARHGAP22_CP,ARHGAP22_Cdc42,ARHGAP22_Cofilin,ARHGAP22_Coronin,ARHGAP22_Cortactin,ARHGAP22_Dia1,ARHGAP22_Dia2,ARHGAP22_Ena_Vasp,ARHGAP22_IRSp53_Cdc42,ARHGAP22_IRSp53_Rac1,ARHGAP22_LIMK,ARHGAP22_NET1,ARHGAP22_PAK,ARHGAP22_PIP2,ARHGAP22_PKD,ARHGAP22_Profilin,ARHGAP22_ROCK,ARHGAP22_ROS,ARHGAP22_Rac1,ARHGAP22_RhoA,ARHGAP22_SSH,ARHGAP22_Thymosin,ARHGAP22_WASP,ARHGAP22_WAVE,Arp2_3,Arp2_3_CP,Arp2_3_Cdc42,Arp2_3_Cofilin,Arp2_3_Coronin,Arp2_3_Cortactin,Arp2_3_Dia1,Arp2_3_Dia2,Arp2_3_Ena_Vasp,Arp2_3_IRSp53_Cdc42,Arp2_3_IRSp53_Rac1,Arp2_3_LIMK,Arp2_3_NET1,Arp2_3_PAK,Arp2_3_PIP2,Arp2_3_PKD,Arp2_3_Profilin,Arp2_3_ROCK,Arp2_3_ROS,Arp2_3_Rac1,Arp2_3_RhoA,Arp2_3_SSH,Arp2_3_Thymosin,Arp2_3_WASP,Arp2_3_WAVE,CP,CP_Cdc42,CP_Cofilin,CP_Coronin,CP_Cortactin,CP_Dia1,CP_Dia2,CP_Ena_Vasp,CP_IRSp53_Cdc42,CP_IRSp53_Rac1,CP_LIMK,CP_NET1,CP_PAK,CP_PIP2,CP_PKD,CP_Profilin,CP_ROCK,CP_ROS,CP_Rac1,CP_RhoA,CP_SSH,CP_Thymosin,CP_WASP,CP_WAVE,Cdc42,Cdc42_Cofilin,Cdc42_Coronin,Cdc42_Cortactin,Cdc42_Dia1,Cdc42_Dia2,Cdc42_Ena_Vasp,Cdc42_IRSp53_Cdc42,Cdc42_IRSp53_Rac1,Cdc42_LIMK,Cdc42_NET1,Cdc42_PAK,Cdc42_PIP2,Cdc42_PKD,Cdc42_Profilin,Cdc42_ROCK,Cdc42_ROS,Cdc42_Rac1,Cdc42_RhoA,Cdc42_SSH,Cdc42_Thymosin,Cdc42_WASP,Cdc42_WAVE,Cofilin,Cofilin_Coronin,Cofilin_Cortactin,Cofilin_Dia1,Cofilin_Dia2,Cofilin_Ena_Vasp,Cofilin_IRSp53_Cdc42,Cofilin_IRSp53_Rac1,Cofilin_LIMK,Cofilin_NET1,Cofilin_PAK,Cofilin_PIP2,Cofilin_PKD,Cofilin_Profilin,Cofilin_ROCK,Cofilin_ROS,Cofilin_Rac1,Cofilin_RhoA,Cofilin_SSH,Cofilin_Thymosin,Cofilin_WASP,Cofilin_WAVE,Coronin,Coronin_Cortactin,Coronin_Dia1,Coronin_Dia2,Coronin_Ena_Vasp,Coronin_IRSp53_Cdc42,Coronin_IRSp53_Rac1,Coronin_LIMK,Coronin_NET1,Coronin_PAK,Coronin_PIP2,Coronin_PKD,Coronin_Profilin,Coronin_ROCK,Coronin_ROS,Coronin_Rac1,Coronin_RhoA,Coronin_SSH,Coronin_Thymosin,Coronin_WASP,Coronin_WAVE,Cortactin,Cortactin_Dia1,Cortactin_Dia2,Cortactin_Ena_Vasp,Cortactin_IRSp53_Cdc42,Cortactin_IRSp53_Rac1,Cortactin_LIMK,Cortactin_NET1,Cortactin_PAK,Cortactin_PIP2,Cortactin_PKD,Cortactin_Profilin,Cortactin_ROCK,Cortactin_ROS,Cortactin_Rac1,Cortactin_RhoA,Cortactin_SSH,Cortactin_Thymosin,Cortactin_WASP,Cortactin_WAVE,Dia1,Dia1_Dia2,Dia1_Ena_Vasp,Dia1_IRSp53_Cdc42,Dia1_IRSp53_Rac1,Dia1_LIMK,Dia1_NET1,Dia1_PAK,Dia1_PIP2,Dia1_PKD,Dia1_Profilin,Dia1_ROCK,Dia1_ROS,Dia1_Rac1,Dia1_RhoA,Dia1_SSH,Dia1_Thymosin,Dia1_WASP,Dia1_WAVE,Dia2,Dia2_Ena_Vasp,Dia2_IRSp53_Cdc42,Dia2_IRSp53_Rac1,Dia2_LIMK,Dia2_NET1,Dia2_PAK,Dia2_PIP2,Dia2_PKD,Dia2_Profilin,Dia2_ROCK,Dia2_ROS,Dia2_Rac1,Dia2_RhoA,Dia2_SSH,Dia2_Thymosin,Dia2_WASP,Dia2_WAVE,Ena_Vasp,Ena_Vasp_IRSp53_Cdc42,Ena_Vasp_IRSp53_Rac1,Ena_Vasp_LIMK,Ena_Vasp_NET1,Ena_Vasp_PAK,Ena_Vasp_PIP2,Ena_Vasp_PKD,Ena_Vasp_Profilin,Ena_Vasp_ROCK,Ena_Vasp_ROS,Ena_Vasp_Rac1,Ena_Vasp_RhoA,Ena_Vasp_SSH,Ena_Vasp_Thymosin,Ena_Vasp_WASP,Ena_Vasp_WAVE,IRSp53_Cdc42,IRSp53_Cdc42_IRSp53_Rac1,IRSp53_Cdc42_LIMK,IRSp53_Cdc42_NET1,IRSp53_Cdc42_PAK,IRSp53_Cdc42_PIP2,IRSp53_Cdc42_PKD,IRSp53_Cdc42_Profilin,IRSp53_Cdc42_ROCK,IRSp53_Cdc42_ROS,IRSp53_Cdc42_Rac1,IRSp53_Cdc42_RhoA,IRSp53_Cdc42_SSH,IRSp53_Cdc42_Thymosin,IRSp53_Cdc42_WASP,IRSp53_Cdc42_WAVE,IRSp53_Rac1,IRSp53_Rac1_LIMK,IRSp53_Rac1_NET1,IRSp53_Rac1_PAK,IRSp53_Rac1_PIP2,IRSp53_Rac1_PKD,IRSp53_Rac1_Profilin,IRSp53_Rac1_ROCK,IRSp53_Rac1_ROS,IRSp53_Rac1_Rac1,IRSp53_Rac1_RhoA,IRSp53_Rac1_SSH,IRSp53_Rac1_Thymosin,IRSp53_Rac1_WASP,IRSp53_Rac1_WAVE,LIMK,LIMK_NET1,LIMK_PAK,LIMK_PIP2,LIMK_PKD,LIMK_Profilin,LIMK_ROCK,LIMK_ROS,LIMK_Rac1,LIMK_RhoA,LIMK_SSH,LIMK_Thymosin,LIMK_WASP,LIMK_WAVE,NET1,NET1_PAK,NET1_PIP2,NET1_PKD,NET1_Profilin,NET1_ROCK,NET1_ROS,NET1_Rac1,NET1_RhoA,NET1_SSH,NET1_Thymosin,NET1_WASP,NET1_WAVE,PAK,PAK_PIP2,PAK_PKD,PAK_Profilin,PAK_ROCK,PAK_ROS,PAK_Rac1,PAK_RhoA,PAK_SSH,PAK_Thymosin,PAK_WASP,PAK_WAVE,PIP2,PIP2_PKD,PIP2_Profilin,PIP2_ROCK,PIP2_ROS,PIP2_Rac1,PIP2_RhoA,PIP2_SSH,PIP2_Thymosin,PIP2_WASP,PIP2_WAVE,PKD,PKD_Profilin,PKD_ROCK,PKD_ROS,PKD_Rac1,PKD_RhoA,PKD_SSH,PKD_Thymosin,PKD_WASP,PKD_WAVE,Profilin,Profilin_ROCK,Profilin_ROS,Profilin_Rac1,Profilin_RhoA,Profilin_SSH,Profilin_Thymosin,Profilin_WASP,Profilin_WAVE,ROCK,ROCK_ROS,ROCK_Rac1,ROCK_RhoA,ROCK_SSH,ROCK_Thymosin,ROCK_WASP,ROCK_WAVE,ROS,ROS_Rac1,ROS_RhoA,ROS_SSH,ROS_Thymosin,ROS_WASP,ROS_WAVE,Rac1,Rac1_RhoA,Rac1_SSH,Rac1_Thymosin,Rac1_WASP,Rac1_WAVE,RhoA,RhoA_SSH,RhoA_Thymosin,RhoA_WASP,RhoA_WAVE,SSH,SSH_Thymosin,SSH_WASP,SSH_WAVE,Thymosin,Thymosin_WASP,Thymosin_WAVE,WASP,WASP_WAVE,WAVE,mean
ARHGAP22,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,77,91,83,90,80,91,80,81,81,82,79,68,92,82,31,82,0,92,92,0,89,80,82,81,72,88,72,82,72,80,70,71,71,74,70,57,92,71,23,69,0,93,92,0,82,70,77,75,86,86,99,89,87,86,87,89,87,88,74,89,88,43,87,0,92,91,0,100,87,87,88,77,87,76,81,76,79,77,77,76,70,92,78,30,73,0,92,92,0,87,68,84,79,85,85,90,85,89,85,87,84,77,100,88,85,84,0,100,100,0,86,84,93,85,74,79,76,77,76,77,75,66,90,77,29,70,0,93,91,0,87,72,80,76,79,79,81,81,82,80,80,91,79,43,76,0,93,93,0,91,75,90,85,77,78,73,76,74,66,92,77,31,72,0,92,93,0,87,71,81,75,77,79,81,78,74,93,77,38,75,0,93,92,0,91,72,88,80,74,79,72,67,91,80,31,71,0,92,91,0,87,69,82,81,78,76,70,91,77,31,74,0,91,93,0,87,74,81,79,73,66,91,75,30,70,0,90,92,0,85,68,82,78,66,69,75,23,62,0,93,91,0,78,62,78,69,91,92,50,92,0,92,91,0,100,91,91,91,76,37,74,0,93,92,0,90,73,87,83,31,26,0,48,83,0,87,29,36,30,72,0,93,93,0,85,70,78,76,0,0,0,0,0,0,0,0,92,92,0,100,92,91,91,92,0,100,92,92,92,0,0,0,0,0,87,83,94,88,70,79,73,83,82,79,62.05681818181818
Actin_BR,43,86,0,90,79,74,91,70,62,85,85,85,81,86,81,0,88,87,93,86,95,24,67,92,93,37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11,38,41,43,40,47,44,44,39,51,58,0,48,73,50,91,31,23,62,40,55,17,33,11,8,1,7,6,11,9,9,10,10,22,0,9,50,10,77,7,0,28,0,10,5,7,34,32,29,37,37,30,33,32,35,41,0,31,48,45,68,27,19,46,34,55,6,27,38,38,39,40,36,39,31,43,46,0,37,42,45,92,27,29,64,35,49,7,37,40,38,39,37,41,36,43,45,0,44,53,50,68,33,25,47,33,54,2,24,41,42,38,38,38,43,39,0,45,43,44,61,39,33,59,35,52,3,35,42,41,46,38,48,51,0,43,67,47,88,32,27,59,34,55,11,37,40,40,34,44,42,0,45,62,43,86,38,27,58,31,56,6,36,44,36,51,49,0,39,66,49,88,34,25,60,34,56,11,32,36,42,44,0,40,57,45,78,32,25,46,31,52,12,33,48,53,0,52,68,52,88,40,28,59,42,58,11,39,48,0,42,72,57,81,33,25,58,42,60,15,40,0,0,0,0,0,0,0,0,0,0,0,0,44,63,49,87,37,29,62,33,54,9,37,67,75,89,55,14,59,35,72,26,44,46,92,41,36,65,41,55,24,43,89,88,19,63,92,93,36,60,32,26,60,24,54,4,30,26,28,23,46,0,23,57,62,64,20,32,37,51,6,31,53,22,53,11,3,33,37.3125
Actin_ST,76,45,75,93,42,49,46,53,47,46,12,42,49,48,46,100,12,49,0,46,55,84,52,42,54,51,41,96,95,98,95,97,96,49,96,95,96,95,96,90,100,97,90,0,81,100,100,52,97,100,89,95,97,99,95,98,97,56,98,93,97,97,98,90,100,98,97,0,94,100,100,81,98,100,88,93,94,93,100,94,36,92,90,95,94,93,90,100,90,71,0,43,96,100,53,100,95,92,94,79,80,81,39,79,66,78,80,81,76,100,64,67,0,53,82,88,41,82,71,93,78,78,79,36,75,62,77,80,74,75,100,61,76,0,41,82,79,44,80,75,95,75,76,37,73,59,74,75,71,72,100,54,59,0,47,78,86,40,79,76,88,77,39,36,25,38,40,36,37,52,8,43,0,51,37,41,47,36,52,3,39,75,51,71,74,70,73,100,55,62,0,45,77,81,50,81,75,89,76,58,58,62,54,55,100,53,36,0,13,58,71,0,66,44,92,60,75,75,68,73,100,59,61,0,41,79,83,47,78,73,87,76,78,72,73,100,57,67,0,51,81,83,52,82,75,88,76,72,70,100,47,62,0,44,73,81,48,75,72,89,70,74,89,56,61,0,51,78,84,49,79,73,85,69,100,100,100,0,100,100,100,53,100,100,100,100,54,35,0,13,61,69,11,64,46,90,61,65,0,46,69,90,50,79,64,67,55,0,0,0,0,0,0,0,0,0,44,49,88,50,42,53,50,42,79,82,52,83,72,96,79,82,41,84,77,100,85,46,40,56,13,43,80,74,96,82,74,88,73,90,85,77,65.73011363636364
Arp2_3,43,86,0,90,79,74,91,70,62,85,85,85,81,86,81,0,88,87,93,86,95,24,67,92,93,37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11,38,41,43,40,47,44,44,39,51,58,0,48,73,50,91,31,23,62,40,55,17,33,11,8,1,7,6,11,9,9,10,10,22,0,9,50,10,77,7,0,28,0,10,5,7,34,32,29,37,37,30,33,32,35,41,0,31,48,45,68,27,19,46,34,55,6,27,38,38,39,40,36,39,31,43,46,0,37,42,45,92,27,29,64,35,49,7,37,40,38,39,37,41,36,43,45,0,44,53,50,68,33,25,47,33,54,2,24,41,42,38,38,38,43,39,0,45,43,44,61,39,33,59,35,52,3,35,42,41,46,38,48,51,0,43,67,47,88,32,27,59,34,55,11,37,40,40,34,44,42,0,45,62,43,86,38,27,58,31,56,6,36,44,36,51,49,0,39,66,49,88,34,25,60,34,56,11,32,36,42,44,0,40,57,45,78,32,25,46,31,52,12,33,48,53,0,52,68,52,88,40,28,59,42,58,11,39,48,0,42,72,57,81,33,25,58,42,60,15,40,0,0,0,0,0,0,0,0,0,0,0,0,44,63,49,87,37,29,62,33,54,9,37,67,75,89,55,14,59,35,72,26,44,46,92,41,36,65,41,55,24,43,89,88,19,63,92,93,36,60,32,26,60,24,54,4,30,26,28,23,46,0,23,57,62,64,20,32,37,51,6,31,53,22,53,11,3,33,37.3125
CP,21,49,0,0,48,39,50,38,35,49,85,52,44,47,45,0,88,46,54,47,45,15,34,53,46,28,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,5,3,6,9,5,5,7,6,0,9,25,6,46,4,0,14,0,5,5,3,16,17,13,20,17,30,17,15,15,17,0,31,21,23,32,16,11,25,16,29,0,13,20,19,22,22,36,21,17,25,20,0,37,22,20,53,16,19,35,18,25,1,21,21,21,24,37,23,21,26,22,0,44,33,25,43,21,14,28,18,24,0,15,22,25,38,21,21,25,23,0,45,24,25,30,22,17,32,19,25,3,19,23,41,25,23,28,23,0,43,35,24,49,22,18,28,16,25,5,19,40,40,34,44,42,0,45,62,43,86,38,27,58,31,56,6,36,23,22,30,22,0,39,36,27,53,19,16,32,19,27,7,20,18,26,22,0,40,29,25,43,18,16,25,14,25,5,20,26,26,0,52,36,25,50,26,19,31,24,28,5,25,22,0,42,34,27,42,21,15,31,17,27,5,22,0,0,0,0,0,0,0,0,0,0,0,0,44,63,49,87,37,29,62,33,54,9,37,32,40,49,30,9,30,18,36,22,30,24,51,23,19,34,20,27,10,23,50,51,11,32,54,47,32,40,20,17,29,15,28,4,20,17,15,14,23,0,14,32,36,32,16,21,17,26,0,15,26,8,27,5,1,17,21.022727272727273
Cdc42,50,50,49,47,0,49,49,52,50,50,54,50,50,47,53,48,49,50,49,46,54,49,51,49,50,49,45,49,50,0,48,49,51,51,51,52,49,50,51,50,49,45,52,50,52,50,47,52,51,48,51,52,49,0,49,51,51,50,50,50,49,50,53,50,49,50,49,50,50,49,51,52,52,49,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,49,55,52,48,49,50,49,52,53,50,49,51,51,49,51,49,49,49,52,48,51,50,50,51,49,52,48,50,50,50,49,52,52,47,49,51,52,50,49,50,55,50,50,49,51,50,51,50,49,49,51,52,51,48,51,49,53,50,49,50,48,50,52,48,48,49,51,47,49,53,53,51,47,50,49,50,51,49,51,52,52,50,51,49,51,50,50,50,51,48,50,48,53,50,50,50,49,50,49,51,48,50,53,49,52,50,48,51,54,49,48,50,52,51,51,48,49,54,49,51,48,50,51,51,47,50,51,52,51,50,46,49,50,52,50,49,50,49,50,50,51,49,51,49,51,46,50,50,46,50,50,50,52,50,49,48,50,52,51,48,48,48,48,53,52,51,50,51,48,50,49,51,48,50,48,50,50,47,51,52,48,52,48,51,51,50,50,51,49,47,47,50,50,49,52,48,52,53,52,51,48,50,50,48,51,45,47,48,50,50,51,50,50,50,50,49,53,49,49,49,52,51,48,50,52,49,48,50,50,51,51,52,47,50,48,49,46,51,50,50,50,52,50,47,50,48,53,50,48,47,47,46.21590909090909
Cofilin,27,69,5,76,56,0,64,68,50,69,68,69,63,77,71,5,81,85,70,84,10,23,80,3,85,20,50,6,8,4,0,0,8,8,6,5,6,5,7,8,4,8,47,6,58,5,7,22,0,7,3,6,27,11,0,17,30,28,30,28,28,23,45,31,4,41,74,30,84,22,20,76,10,35,8,20,12,0,1,9,11,12,10,10,11,11,13,6,12,57,12,82,7,7,59,0,12,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,19,19,17,17,14,36,18,0,31,28,18,80,16,19,60,12,21,1,19,30,30,30,29,30,28,42,32,9,44,63,38,82,24,21,69,17,36,7,24,30,31,27,27,27,44,30,7,45,63,32,77,26,24,74,13,33,6,24,27,28,30,27,43,31,4,41,71,32,86,24,24,74,11,34,9,22,29,29,25,43,31,3,43,65,30,86,25,22,74,12,33,8,23,29,26,46,29,4,37,69,32,86,24,24,74,12,36,9,21,23,40,26,4,40,67,31,82,23,22,68,10,31,9,23,43,48,4,54,77,46,85,40,35,74,33,55,8,37,30,6,42,76,35,87,23,23,72,10,35,8,24,5,8,32,4,32,3,7,28,0,5,4,4,43,76,46,100,37,37,84,22,49,13,37,70,76,86,60,38,78,13,79,34,55,30,84,26,24,77,13,35,13,27,87,82,35,78,3,98,56,71,23,24,75,15,32,5,22,23,33,14,31,6,21,72,3,81,42,63,12,17,0,11,34,14,32,8,4,20,30.625
Coronin,19,78,7,86,59,73,0,64,48,76,72,75,68,76,76,9,74,100,81,100,8,8,90,0,81,47,53,10,11,7,7,0,10,9,10,8,9,7,10,12,8,9,74,8,85,8,8,31,0,11,8,8,21,12,18,0,18,17,22,21,20,16,20,21,8,20,87,23,100,7,8,83,0,21,12,13,14,13,0,10,13,14,13,11,13,12,15,11,12,75,13,100,8,9,72,0,13,13,10,18,0,17,16,18,18,18,16,18,19,8,19,79,20,100,8,8,81,0,24,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,16,17,16,14,15,20,10,17,77,22,94,7,9,78,0,20,9,10,18,17,15,16,14,16,17,9,16,73,21,87,7,7,83,0,18,10,12,16,18,20,16,18,21,8,19,82,22,100,8,7,81,0,21,14,15,19,17,15,17,22,7,18,77,21,100,7,8,82,0,19,12,13,19,15,20,20,9,15,82,23,100,8,9,82,0,23,14,11,15,17,17,9,18,82,18,100,9,7,80,0,17,13,12,19,21,9,19,82,22,100,10,8,82,0,23,13,12,22,11,22,86,27,100,7,9,81,0,24,12,14,9,8,72,8,100,8,9,34,0,9,9,9,20,78,20,100,7,8,84,0,20,13,13,81,84,100,73,43,87,0,83,77,70,21,100,7,7,87,0,22,17,16,100,100,30,88,0,100,100,89,8,8,83,0,8,9,9,8,23,0,8,8,8,80,0,86,67,79,0,0,0,0,22,16,18,13,9,12,27.99715909090909
Cortactin,24,87,44,91,80,78,91,0,61,86,85,86,77,87,75,100,87,90,92,89,95,0,67,92,92,48,60,14,16,4,13,10,0,0,15,14,14,13,15,26,8,14,32,14,45,8,0,0,11,15,15,14,27,10,24,18,0,16,29,27,27,23,28,41,8,27,74,29,93,7,0,62,18,28,19,19,10,10,1,0,6,11,9,8,10,9,22,11,9,51,10,80,7,0,28,0,10,8,8,20,13,0,14,20,16,20,20,20,26,8,18,54,24,81,7,0,46,13,29,10,14,15,0,10,15,11,15,13,16,23,0,12,15,16,92,0,0,64,14,16,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,14,15,12,17,16,0,18,36,21,61,5,0,59,9,22,3,8,22,20,25,20,24,31,8,21,65,25,90,8,0,59,13,27,14,19,20,19,15,20,23,7,21,58,22,88,6,0,58,9,25,8,15,23,18,26,30,9,18,65,27,90,8,0,60,13,28,12,15,20,21,26,9,18,55,23,81,8,0,46,13,23,14,16,25,31,9,23,65,28,91,10,0,59,15,29,14,17,31,25,22,70,35,82,7,0,58,21,35,17,24,9,8,50,8,100,8,0,0,0,9,9,9,22,59,23,87,6,0,62,10,25,9,15,65,71,91,50,0,59,13,68,42,46,25,92,7,0,65,15,28,19,21,91,94,0,63,92,93,59,69,8,0,60,0,8,8,8,0,0,0,0,0,0,57,62,64,20,32,13,17,6,11,27,17,23,13,12,16,26.616477272727273
Dia1,66,13,44,12,22,16,10,18,0,14,12,14,16,13,9,100,12,13,9,14,55,85,0,9,9,34,18,85,83,95,87,90,85,0,85,85,86,86,84,74,100,87,63,86,45,100,100,0,89,86,86,85,74,91,76,82,75,0,71,73,73,77,73,59,100,73,27,71,12,100,100,0,82,72,81,79,91,92,99,92,0,90,91,92,91,91,76,100,90,51,91,25,96,100,0,100,91,93,91,71,76,73,0,70,68,71,73,72,64,100,66,43,64,21,84,89,0,76,58,89,73,72,72,0,70,64,71,75,67,63,100,63,69,70,10,84,81,0,74,66,93,70,66,0,66,60,65,68,62,57,100,56,36,61,20,79,86,0,75,63,85,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,59,62,67,60,56,100,57,33,63,12,78,82,0,75,60,85,67,60,60,65,56,56,100,55,37,57,13,62,73,0,69,44,91,60,65,69,57,58,100,61,34,60,12,81,84,0,74,58,85,71,70,63,60,100,59,40,62,17,82,84,0,77,61,86,69,61,53,100,48,33,59,12,74,81,0,68,57,85,64,57,75,56,26,51,11,79,85,0,67,52,80,59,100,100,100,100,100,100,100,0,100,100,100,100,56,37,51,13,63,71,0,67,46,89,61,34,27,12,70,91,0,74,31,56,38,64,11,77,81,0,72,58,81,65,12,49,89,0,9,9,36,19,80,83,0,85,72,96,80,83,0,86,77,100,86,0,0,0,0,0,74,65,94,77,61,81,61,86,87,71,56.50284090909091
Dia2,96,68,69,57,37,67,65,71,94,0,74,69,69,67,69,100,74,68,64,65,100,100,51,63,64,77,64,97,96,95,98,100,98,100,0,98,97,97,97,87,100,98,85,98,71,100,100,52,100,98,98,98,96,91,96,100,96,99,0,95,96,96,96,82,100,95,72,95,60,100,100,52,100,95,96,95,93,93,99,93,97,0,94,94,93,93,78,100,94,55,93,38,100,100,0,100,93,94,92,96,100,96,99,0,96,96,96,96,90,100,97,80,97,71,100,100,49,100,96,97,94,100,100,100,0,99,100,100,100,93,100,100,100,99,63,100,100,52,100,100,100,99,97,99,0,96,97,97,96,89,100,97,76,96,69,100,100,53,100,96,95,94,98,0,99,99,99,99,97,100,99,99,98,95,100,100,50,100,99,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,96,100,97,81,97,73,100,100,48,100,97,97,96,96,97,96,90,100,97,78,96,69,100,100,51,100,96,97,95,96,97,90,100,97,80,95,68,100,100,49,100,97,97,95,96,89,100,97,79,96,69,100,100,48,100,96,97,95,90,86,95,74,90,68,100,100,48,93,90,93,87,100,100,100,100,100,100,100,48,100,100,100,100,96,82,96,75,100,100,50,100,97,97,96,80,79,69,100,100,50,100,77,85,72,97,64,100,100,51,100,96,97,95,66,100,100,49,63,66,80,64,100,100,49,100,100,100,100,100,52,100,100,100,100,46,51,50,50,50,100,100,100,100,96,97,95,97,97,95,82.28693181818181
